team1Name,team2Name,week,day,start,end,season,league,location
Ericbury Wildcats,Debraton Bulls,14,1,14.5,16.5,2024,Platinum League,Ashleytown Grounds Field #1
Anitaberg Bobcats,Coxfurt Pirates,14,1,7.0,9.0,2024,Platinum League,Ashleytown Grounds Field #1
New Deborahmouth Dolphins,Jenniferborough Mavericks,14,1,11.0,13.0,2024,Platinum League,Ashleytown Grounds Field #1
Potterberg Mavericks,New Rachel Jacks,14,1,16.5,18.5,2024,Platinum League,Ashleytown Grounds Field #1
Joshuabury Pirates,New Cindy Bucaneers,14,1,9.0,11.0,2024,Platinum League,Ashleytown Grounds Field #1
New Paulfort Chargers,Cindyfurt Hawks,14,3,9.0,11.0,2024,Platinum League,Susanburgh Plaza Field #1
Ericbury Wildcats,Anitaberg Bobcats,14,1,3.5,5.5,2024,Platinum League,Ashleytown Grounds Field #1
New Deborahmouth Dolphins,Debraton Bulls,14,1,18.5,20.5,2024,Platinum League,Ashleytown Grounds Field #1
Potterberg Mavericks,Coxfurt Pirates,14,1,7.0,9.0,2024,Platinum League,Ashleytown Grounds Field #2
Joshuabury Pirates,Jenniferborough Mavericks,14,1,20.5,22.5,2024,Platinum League,Ashleytown Grounds Field #1
New Paulfort Chargers,New Rachel Jacks,14,2,15.0,17.0,2024,Platinum League,Ashleytown Grounds Field #1
Cindyfurt Hawks,New Cindy Bucaneers,14,2,4.0,6.0,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,New Deborahmouth Dolphins,14,1,9.0,11.0,2024,Platinum League,Ashleytown Grounds Field #2
Potterberg Mavericks,Anitaberg Bobcats,14,1,4.5,6.5,2024,Platinum League,Ashleytown Grounds Field #2
Joshuabury Pirates,Debraton Bulls,14,5,3.5,5.5,2024,Platinum League,Ashleytown Grounds Field #1
New Paulfort Chargers,Coxfurt Pirates,14,2,15.0,17.0,2024,Platinum League,Ashleytown Grounds Field #2
Cindyfurt Hawks,Jenniferborough Mavericks,14,1,13.0,15.0,2024,Platinum League,Ashleytown Grounds Field #2
New Cindy Bucaneers,New Rachel Jacks,14,2,9.0,11.0,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,Potterberg Mavericks,15,1,4.5,6.5,2024,Platinum League,Ashleytown Grounds Field #1
Joshuabury Pirates,New Deborahmouth Dolphins,15,1,7.0,9.0,2024,Platinum League,Ashleytown Grounds Field #1
New Paulfort Chargers,Anitaberg Bobcats,15,1,9.0,11.0,2024,Platinum League,Ashleytown Grounds Field #1
Cindyfurt Hawks,Debraton Bulls,15,1,14.5,16.5,2024,Platinum League,Ashleytown Grounds Field #1
New Cindy Bucaneers,Coxfurt Pirates,15,2,7.5,9.5,2024,Platinum League,Ashleytown Grounds Field #1
New Rachel Jacks,Jenniferborough Mavericks,15,1,16.5,18.5,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,Joshuabury Pirates,15,1,11.0,13.0,2024,Platinum League,Ashleytown Grounds Field #1
New Paulfort Chargers,Potterberg Mavericks,15,1,18.5,20.5,2024,Platinum League,Ashleytown Grounds Field #1
Cindyfurt Hawks,New Deborahmouth Dolphins,15,1,20.5,22.5,2024,Platinum League,Ashleytown Grounds Field #1
New Cindy Bucaneers,Anitaberg Bobcats,15,1,3.0,5.0,2024,Platinum League,Ashleytown Grounds Field #2
New Rachel Jacks,Debraton Bulls,15,1,14.5,16.5,2024,Platinum League,Ashleytown Grounds Field #2
Jenniferborough Mavericks,Coxfurt Pirates,15,2,9.5,11.5,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,New Paulfort Chargers,15,1,9.0,11.0,2024,Platinum League,Ashleytown Grounds Field #2
Cindyfurt Hawks,Joshuabury Pirates,15,3,15.0,17.0,2024,Platinum League,Susanburgh Plaza Field #1
New Cindy Bucaneers,Potterberg Mavericks,15,1,5.0,7.0,2024,Platinum League,Ashleytown Grounds Field #2
New Rachel Jacks,New Deborahmouth Dolphins,15,1,16.5,18.5,2024,Platinum League,Ashleytown Grounds Field #2
Jenniferborough Mavericks,Anitaberg Bobcats,15,1,11.0,13.0,2024,Platinum League,Ashleytown Grounds Field #2
Coxfurt Pirates,Debraton Bulls,15,2,11.5,13.5,2024,Platinum League,Ashleytown Grounds Field #1
