team1Name,team2Name,week,day,start,end,season,league,location
New Jose Mavericks,South Janetfort Hornets,21,2,7.0,9.0,2024,Junior,East Amyland Arena Field #1
Scottstad Celtics,Port Melissa Wildcats,21,1,1.5,3.5,2024,Junior,East Amyland Arena Field #4
Port Nicole Commandos,Tonihaven Bears,21,1,10.5,12.5,2024,Junior,East Amyland Arena Field #1
Lake Lesliechester Bucaneers,Cowanberg Sox,21,1,12.5,14.5,2024,Junior,East Amyland Arena Field #1
Port Kellitown Wolves,Jamesburgh Robbers,21,1,8.5,10.5,2024,Junior,East Amyland Arena Field #1
East Amberview Americans,New Christine Grizzlies,21,1,14.5,16.5,2024,Junior,East Amyland Arena Field #1
Davidhaven Bulls,Guerramouth Bears,21,2,9.0,11.0,2024,Junior,East Amyland Arena Field #1
Thompsonhaven Chargers,North Kathy Vikings,21,1,16.5,18.5,2024,Junior,East Amyland Arena Field #1
Solomonberg Hornets,Olsonland Vikings,21,4,12.5,14.5,2024,Junior,East Amyland Arena Field #2
Amymouth Commandos,Port Jennifer Bears,21,1,8.0,10.0,2024,Junior,East Amyland Arena Field #3
Port Reginahaven Americans,Lake Johnton Sox,21,1,6.0,8.0,2024,Junior,East Amyland Arena Field #3
Ellisberg Pirates,Olsonside Celtics,21,1,12.5,14.5,2024,Junior,East Amyland Arena Field #3
Bowenside Hawks,Markshire Jacks,21,2,8.0,10.0,2024,Junior,East Amyland Arena Field #2
West Catherinechester Pirates,Lisafurt Westerners,21,1,4.0,6.0,2024,Junior,East Amyland Arena Field #1
Edwinmouth Bobcats,Bowenville Bobcats,21,1,6.0,8.0,2024,Junior,East Amyland Arena Field #1
Hesterburgh Warriors,Port John Hawks,21,2,19.0,21.0,2024,Junior,East Amyland Arena Field #1
Carlchester Grizzlies,Jamesburgh Grizzlies,21,2,5.0,7.0,2024,Junior,East Amyland Arena Field #1
East Daniel Commandos,Kennedyberg Hornets,21,1,11.5,13.5,2024,Junior,East Amyland Arena Field #5
Youngport Vikings,West Marytown Hornets,21,1,18.5,20.5,2024,Junior,East Amyland Arena Field #1
West Jacqueline Americans,South Stephanie Commandos,21,1,16.5,18.5,2024,Junior,East Amyland Arena Field #2
Zamorastad Dolphins,Kristinland Robbers,21,1,10.0,12.0,2024,Junior,East Amyland Arena Field #3
West Michael Jacks,Port Angela Wildcats,21,1,4.0,6.0,2024,Junior,East Amyland Arena Field #3
Bowenburgh Hornets,Brittanyfort Rappers,21,1,3.5,5.5,2024,Junior,East Amyland Arena Field #4
West Toddberg Wolves,New Christopherside Vikings,21,1,20.5,22.5,2024,Junior,East Amyland Arena Field #1
Kennethborough Vikings,East Kimberlyland Wildcats,21,3,4.5,6.5,2024,Junior,East Amyland Arena Field #1
Annafort Mavericks,Lake Christine Mavericks,21,1,13.5,15.5,2024,Junior,East Amyland Arena Field #5
East Michaelborough Chargers,Port Olivia Wildcats,21,1,6.5,8.5,2024,Junior,East Amyland Arena Field #2
North Kristy Hawks,South Catherineton Rappers,21,1,8.5,10.5,2024,Junior,East Amyland Arena Field #2
North Richard Vikings,South Susan Rappers,21,1,14.5,16.5,2024,Junior,East Amyland Arena Field #2
Michaelstad Vikings,Lake Richard Sabres,21,1,10.5,12.5,2024,Junior,East Amyland Arena Field #2
Port Debra Hawks,Lake Kristen Dolphins,21,1,18.5,20.5,2024,Junior,East Amyland Arena Field #2
Leslieside Americans,Garciamouth Wildcats,21,1,15.5,17.5,2024,Junior,East Amyland Arena Field #5
East Miguelton Pirates,West Janice Rappers,21,4,8.5,10.5,2024,Junior,East Amyland Arena Field #2
New Jessica Pirates,Loganton Hawks,21,1,12.5,14.5,2024,Junior,East Amyland Arena Field #2
New Jose Mavericks,Scottstad Celtics,21,2,7.0,9.0,2024,Junior,East Amyland Arena Field #3
Port Nicole Commandos,South Janetfort Hornets,21,2,14.0,16.0,2024,Junior,East Amyland Arena Field #1
Lake Lesliechester Bucaneers,Port Melissa Wildcats,21,1,1.5,3.5,2024,Junior,East Amyland Arena Field #1
Port Kellitown Wolves,Tonihaven Bears,21,1,4.5,6.5,2024,Junior,East Amyland Arena Field #2
East Amberview Americans,Cowanberg Sox,21,3,6.5,8.5,2024,Junior,East Amyland Arena Field #1
Davidhaven Bulls,Jamesburgh Robbers,21,2,11.0,13.0,2024,Junior,East Amyland Arena Field #1
Thompsonhaven Chargers,New Christine Grizzlies,21,1,14.5,16.5,2024,Junior,East Amyland Arena Field #3
Solomonberg Hornets,Guerramouth Bears,21,1,1.0,3.0,2024,Junior,Josephmouth Hub Field #3
Amymouth Commandos,North Kathy Vikings,21,1,16.5,18.5,2024,Junior,East Amyland Arena Field #3
Port Reginahaven Americans,Olsonland Vikings,21,1,9.0,11.0,2024,Junior,East Amyland Arena Field #5
Ellisberg Pirates,Port Jennifer Bears,21,1,12.5,14.5,2024,Junior,Ianbury Complex Field #4
Bowenside Hawks,Lake Johnton Sox,21,1,9.0,11.0,2024,Junior,Ianbury Complex Field #4
West Catherinechester Pirates,Olsonside Celtics,21,1,5.5,7.5,2024,Junior,East Amyland Arena Field #4
Edwinmouth Bobcats,Markshire Jacks,21,1,4.0,6.0,2024,Junior,Thomaschester Plaza Field #4
Hesterburgh Warriors,Lisafurt Westerners,21,1,17.5,19.5,2024,Junior,East Amyland Arena Field #5
Carlchester Grizzlies,Bowenville Bobcats,21,3,8.5,10.5,2024,Junior,East Amyland Arena Field #1
East Daniel Commandos,Port John Hawks,21,2,16.0,18.0,2024,Junior,East Amyland Arena Field #1
Youngport Vikings,Jamesburgh Grizzlies,21,2,4.0,6.0,2024,Junior,East Amyland Arena Field #2
West Jacqueline Americans,Kennedyberg Hornets,21,1,14.5,16.5,2024,Junior,Ianbury Complex Field #4
Zamorastad Dolphins,West Marytown Hornets,21,1,18.5,20.5,2024,Junior,East Amyland Arena Field #3
West Michael Jacks,South Stephanie Commandos,21,2,21.0,23.0,2024,Junior,East Amyland Arena Field #1
Bowenburgh Hornets,Kristinland Robbers,21,1,7.5,9.5,2024,Junior,East Amyland Arena Field #4
West Toddberg Wolves,Port Angela Wildcats,21,1,20.5,22.5,2024,Junior,East Amyland Arena Field #2
Kennethborough Vikings,Brittanyfort Rappers,21,3,10.5,12.5,2024,Junior,East Amyland Arena Field #1
Annafort Mavericks,New Christopherside Vikings,21,1,20.5,22.5,2024,Junior,East Amyland Arena Field #3
East Michaelborough Chargers,East Kimberlyland Wildcats,21,1,20.5,22.5,2024,Junior,Ryanside Zone Field #2
North Kristy Hawks,Lake Christine Mavericks,21,1,11.0,13.0,2024,Junior,Ryanside Zone Field #1
North Richard Vikings,Port Olivia Wildcats,21,1,19.5,21.5,2024,Junior,East Amyland Arena Field #5
Michaelstad Vikings,South Catherineton Rappers,21,1,9.5,11.5,2024,Junior,East Amyland Arena Field #4
Port Debra Hawks,South Susan Rappers,21,1,16.5,18.5,2024,Junior,Ianbury Complex Field #4
Leslieside Americans,Lake Richard Sabres,21,1,15.0,17.0,2024,Junior,Ryanside Zone Field #1
East Miguelton Pirates,Lake Kristen Dolphins,21,1,14.0,16.0,2024,Junior,Ryanside Zone Field #2
New Jessica Pirates,Garciamouth Wildcats,21,5,9.0,11.0,2024,Junior,East Amyland Arena Field #1
Loganton Hawks,West Janice Rappers,21,2,9.0,11.0,2024,Junior,East Amyland Arena Field #3
New Jose Mavericks,Port Nicole Commandos,22,3,7.5,9.5,2024,Junior,East Amyland Arena Field #1
Lake Lesliechester Bucaneers,Scottstad Celtics,22,1,1.5,3.5,2024,Junior,East Amyland Arena Field #1
Port Kellitown Wolves,South Janetfort Hornets,22,1,4.5,6.5,2024,Junior,East Amyland Arena Field #3
East Amberview Americans,Port Melissa Wildcats,22,1,5.0,7.0,2024,Junior,East Amyland Arena Field #4
Davidhaven Bulls,Tonihaven Bears,22,1,19.0,21.0,2024,Junior,East Amyland Arena Field #1
Thompsonhaven Chargers,Cowanberg Sox,22,1,11.0,13.0,2024,Junior,East Amyland Arena Field #1
Solomonberg Hornets,Jamesburgh Robbers,22,2,1.5,3.5,2024,Junior,East Amyland Arena Field #1
Amymouth Commandos,New Christine Grizzlies,22,1,8.0,10.0,2024,Junior,East Amyland Arena Field #1
Port Reginahaven Americans,Guerramouth Bears,22,2,6.5,8.5,2024,Junior,East Amyland Arena Field #1
